Identifier	Character	Dialogue	Filename	Line Number
e1u1a_8a54c1fe		Przed jej oczami malował się widok zupełnie inny niż przy wydrążonej nienaturalnie drodze do kopalni.	game/script.rpy	345
e1u1a_bbe4cc6d		Tamtejszy mrok zastąpił blask księżyca. Odbijał się on w strumyku płynącym wzdłuż przykrytej delikatnym mchem wąskiej ścieżki.	game/script.rpy	346
e1u1a_2142b882		Lia rozpoczęła swój rytualny spacer, który prawie natychmiast zamienił się w życiowe rozmyślania.	game/script.rpy	347
e1u1a_e29209a6		O tym, że nie wie dokąd prowadzi jej życie. O tym, że jej rodzice wymagają od niej znacznie więcej niż sam król od swoich służących.	game/script.rpy	348
e1u1a_8d5874ae		O tym, że jedyne co w życiu robi to pracuje oraz podaje gościom strawę i alkohol (a w zasadzie to przede wszystkim alkohol).	game/script.rpy	349
e1u1a_00dad49a		Na koniec jej myśli zaczęły wędrować do tej jednej pozytywnej rzeczy, która ją ostatnio spotkała. W końcu miała przyjaciela.	game/script.rpy	350
e1u1a_f1f3f857		Nie była jednak pewna czy akurat teraz z nią jest.	game/script.rpy	351
e1u1a_c8463705		Przyjazne otoczenie, cichy szum wiatru oraz delikatny dźwięk płynącego strumyka dodał jej troszkę odwagi. Postanowiła po prostu zapytać:	game/script.rpy	352
e1u1a_c01146f9	p1	Hej, nadal tu jesteś?	game/script.rpy	356
e1u1a_b53f77c6	gr	Oczywiście.	game/script.rpy	357
e1u1a_35c80909	p1	Oh, już się delikatnie bałam.	game/script.rpy	358
e1u1a_c36f8256	p1	Odkąd mi towarzyszysz to jest mi tak jakby, hmm... łatwiej.	game/script.rpy	359
e1u1a_11f2d0ef	p1	Ciężko mi tylko stwierdzić kiedy przy mnie jesteś.	game/script.rpy	360
e1u1a_b9e73bf9	gr	Oh, nie musisz się o to martwić!	game/script.rpy	361
e1u1a_933ddcea	gr	Jestem z Tobą cały czas. Nigdy Cię nie opuściłem i nigdy tego nie zrobię.	game/script.rpy	362
e1u1a_3f280f9d	gr	Sama kierujesz swoim losem, ale jeśli czegoś potrzebujesz to po prostu mnie zapytaj.	game/script.rpy	363
e1u1a_dffa9b51	p1	Naprawdę? Jesteś tu zawsze? Cz.. czyli mówisz, że mój strach jest nieuzasadniony?	game/script.rpy	364
e1u1a_9560271a	gr	Dokładnie tak. Naprawdę nie musisz się bać. Najważniejsze to poprosić o pomoc, a wtedy zawsze Ci doradzę.	game/script.rpy	365
e1u1a_6e2b8609	p1	Dziękuję, to dla mnie bardzo ważne. Dobrze, że ujawniasz się coraz częściej.	game/script.rpy	366
e1u1a_37a54155	p1	Nie wiem co bym zrobiła, gdybym dalej była sama.	game/script.rpy	367
e1u1a_e5df6338	p1	Naprawdę ciężko codziennie robić to samo i żyć tak jak żyję.	game/script.rpy	368
e1u1a_9d4a4959	p1	Mama stara się być miła, ale widzę, że coś stale ją trapi - nie chcę jej stresować.	game/script.rpy	369
e1u1a_34916eb3	p1	A ojciec... jego się chyba troszkę boję, wolałabym... Zaraz, co to było? Słyszałeś to?	game/script.rpy	370
e1u2a_e0a10a86		Dopiero co nabierający rumieńców monolog został przerwany przez nienaturalnie głośny szelest liści.	game/script.rpy	375
e1u2a_ba3da061		Za drzewami, jakby znikąd, nagle pojawił się ledwo widoczny kształt postaci.	game/script.rpy	377
e1u2a_21072112		Tajemnicza osoba była praktycznie niewidoczna, a samą twarz zasłaniał głęboki kaptur.	game/script.rpy	378
e1u2a_04fd0db9		Lia delikatnie wzdrygnęła się ze strachu. Na szczęście odwaga jeszcze jej nie opuściła. Po czym wyszeptała:	game/script.rpy	379
e1u2a_60dac5e4	p1	Ooo! Ktoś tam stoi? Co robimy?	game/script.rpy	380
e1u2a_a14b7187	p1	Dobrze!	game/script.rpy	385
e1u3a_fd9590c0		Lia postanowiła powoli zbliżyć się do tajemniczej postaci.	game/script.rpy	403
e1u3a_9b504e39		Nie była jednak pewna czy zakapturzony nieznajomy ją widzi.	game/script.rpy	404
e1u3a_3e983246		Sylwetka tajemniczej postaci powoli zaczęła się ujawniać.	game/script.rpy	405
e1u3a_d477be6b		W pewnym momencie udało się dostrzec, że tajemniczy nieznajomy to tak naprawdę młoda dziewczyna!	game/script.rpy	406
e1u3a_dbc9d45a		Gdy tylko zauważyła zbliżającą się Lię - niespodziewanie zniknęła wśród drzew.	game/script.rpy	407
e1u3a_4bfd74c9	p1	Oh! Miałam nadzieję, że rzeczywiście uda mi się porozmawiać z kimś nowym. Szkoda, że uciekła... bo chyba była to dziewczyna, co nie?	game/script.rpy	409
e1u3a_1198588c	gr	Tak... a przynajmniej tak mi się wydaje.	game/script.rpy	410
e1u3a_e05b06ae	p1	Super byłoby mieć przyjaciółkę. Myślisz, że się jeszcze kiedyś pojawi?	game/script.rpy	411
e1u3a_08f776c1	gr	A co to za smutek w głosie? Nie trać nadziei! Na pewno się pojawi.	game/script.rpy	412
e1u3a_e3a47f3d	gr	Jeśli nie ona to ktoś inny. Pamiętaj, jestem tutaj, żeby Ci pomóc. Teraz wszystko się zmieni. Zobaczysz.	game/script.rpy	413
e1u3a_7c69089b	p1	No dobrze... pewnie masz rację.	game/script.rpy	414
e1u3a_6d8e2cb6	p1	Wracajmy!	game/script.rpy	416
e1u3a_9d7e17e2	p1	Jutro na pewno będzie lepsze!	game/script.rpy	418
e1u4a_cf65761d		Droga powrotna zleciała szybko i bez żadnych niespodzianek.	game/script.rpy	429
e1u4a_c1d01989		Lia całą drogę myślami była przy tajemniczej dziewczynie.	game/script.rpy	430
e1u4a_f291ea53		Zastanawiała się kim mogła być i dlaczego tak się bała.	game/script.rpy	431
e1u4a_d38db603		Po powrocie do pokoju przeszło jej przez myśl, że może wcale nie ma tak źle.	game/script.rpy	434
e1u4a_f3cd1b3e		Przynajmniej nie musi przed czymś uciekać po nocy w lesie.	game/script.rpy	435
e1u4a_01c9f620		Z delikatną nutką nadziei w głosie, rzekła:	game/script.rpy	436
e1u4a_707bc561	p1	Ahh, mimo wszystko cieszę się z tego spaceru. Dziękuję Ci za tę poradę! Teraz mogę spokojnie pójść spać.	game/script.rpy	438
e1u4a_d9525b6a	p1	Dobranoc!	game/script.rpy	439
e1u4a_32cafa3b		Zmęczenie spacerem dało się we znaki - Lia prawie natychmiast zasnęła.	game/script.rpy	443
e1u3b_c3f3b6b7		Lia postanowiła zawołać tajemniczą postać.	game/script.rpy	477
e1u3b_a9f0c2ff		Nie czekając na dodatkową motywację do działania, krzyknęła:	game/script.rpy	478
e1u3b_7d643ff6	p1	Hej, halo! - co tu robisz tak późno?	game/script.rpy	479
e1u3b_526016c2		Niespodziewany krzyk musiał przerazić nieznajomego, gdyż natychmiast zniknął pośród gęstych drzew.	game/script.rpy	480
e1u3b_969c5579		"Może krzyczenie do kogoś obcego w środku nocy nie było najlepszym pomysłem" - pomyślała Lia, po czym dodała zawiedzionym głosem:	game/script.rpy	482
e1u3b_4d25093f	p1	No cóż, szkoda... Chyba czas wracać.	game/script.rpy	484
e1u4b_cf65761d		Droga powrotna zleciała szybko i bez żadnych niespodzianek.	game/script.rpy	498
e1u4b_f432c624		Lia całą drogę myślami była przy tajemniczej postaci.	game/script.rpy	499
e1u4b_71c1437e		Zastanawiała się kto to był i czemu tak nagle zniknął.	game/script.rpy	500
e1u4b_d38db603		Po powrocie do pokoju przeszło jej przez myśl, że może wcale nie ma tak źle.	game/script.rpy	504
e1u4b_b1509174		Przynajmniej nie jest zmuszona włóczyć się w nocy po lesie.	game/script.rpy	505
e1u4b_01c9f620		Z delikatną nutką nadziei w głosie, rzekła:	game/script.rpy	506
e1u4b_41f86998	p1	Spacer nie był mimo wszystko taki zły. To była dobra porada. Dobranoc!	game/script.rpy	509
e1u4b_32cafa3b		Zmęczenie spacerem dało się we znaki - Lia prawie natychmiast zasnęła.	game/script.rpy	512
epizod2_75eb952d		Lia zbudziła się o brzasku.	game/script.rpy	554
epizod2_88f85ec7		Promienie Słońca wpadały przez okno i delikatnie muskały jej policzek.	game/script.rpy	556
epizod2_944d0ba4		Delikatne ciepło przyciągnęło miłe wspomnienie ze snu.	game/script.rpy	557
epizod2_ef348062		"Może to dobry znak" - pomyślała Lia, po czym delikatnie się uśmiechnęła.	game/script.rpy	559
epizod2_056f5856		Szybko się ubrała i ruszyła w kierunku kuchni na śniadanie.	game/script.rpy	560
epizod2_15d6506e		W oddali niosło się pianie koguta. Lia delikatnie spróbowała otworzyć oczy.	game/script.rpy	565
epizod2_0b269a6f		Niestety promienie Słońca wpadające przez okno skutecznie zaprzepaściły kilka pierwszych prób.	game/script.rpy	566
epizod2_a20cefa7		...	game/script.rpy	567
epizod2_a20cefa7_1		...	game/script.rpy	568
epizod2_1189f740		Minęła dłuższa chwila. Lia słyszała głos ojca, który wołał ją na śniadanie.	game/script.rpy	570
epizod2_afbfe0df		"Chętnie pospałabym do wieczora" - pomyślała, po czym zaczęła powoli wstawać.	game/script.rpy	571
epizod2_b4354a3c		Ubrała się i opornie wyruszyła w kierunku kuchni.	game/script.rpy	573
epizod2_1c382193		Lia minęła kilka pomieszczeń. Jednym z nich była główna kuchnia połączona z jadalnią.	game/script.rpy	579
epizod2_99197c08		Ta do której zmierzała to w zasadzie pomieszczenie połączone z zapleczem Tawerny.	game/script.rpy	580
epizod2_e70359ee		Z tej na górze już nie korzystają. Po co robić bałagan w dwóch miejscach?	game/script.rpy	581
epizod2_4eac67dc		Tak przynajmniej uważają jej rodzice, ale nikt nie słucha jej porady aby nie jeść w miejscu pracy.	game/script.rpy	582
epizod2_c07e7d35		Po krótkiej wędrówce przez domowe korytarze dotarła na miejsce i otworzyła drzwi.	game/script.rpy	583
epizod2_501cb969		Weszła do środka z uśmiechem na twarzy.	game/script.rpy	589
epizod2_56878d8e	p1	Dzień Dobry Mamo!	game/script.rpy	594
epizod2_56dc5536	p1	Dzień dobry Tato!	game/script.rpy	600
epizod2_698a62c6		Rodzice spojrzeli po sobie, delikatnie zdziwieni.	game/script.rpy	603
epizod2_5a7b7d8c		Rzadko widywali jak ich córka się uśmiecha. Wydało im się to aż nadto podejrzane.	game/script.rpy	604
epizod2_5940d494		Ciszę przerwał Ojciec.	game/script.rpy	607
epizod2_5fb12fcf	p3	Czy coś się stało? Skąd ten uśmiech?	game/script.rpy	608
epizod2_04502d19	p1	Czy od razu coś musiało się stać?	game/script.rpy	609
epizod2_f3f69e78	p2	Dziecko, przecież Cię znamy. Powiedz czy coś się stało.	game/script.rpy	610
epizod2_82318183	p1	Ehh...	game/script.rpy	611
epizod2_b03a36d6		Z grymasem na twarzy weszła do kuchni.	game/script.rpy	622
epizod2_c4c25c65		Lia postanowiła tradycyjnie skupić się na znalezieniu czegoś normalnego do jedzenia.	game/script.rpy	625
epizod2_4f34699c		Nie przyszło jej to łatwo. Finalnie drogę zagrodził jej Ojciec, delikatnie się nachylił i powiedział:	game/script.rpy	630
epizod2_d19bd21c	p3	Dzień dobry młoda damo! Cieszymy się, że zaszczyciłaś nas swoją obecnością.	game/script.rpy	631
epizod2_89622996	p1	...	game/script.rpy	632
epizod2_000e6bf0	p3	Mogłabyś wydusić chociaż proste "Dzień dobry"...	game/script.rpy	633
epizod2_7a4e7c1b		Powiedział Ojciec, po czym z delikatnym smutkiem usunął się z drogi i wrócił na swoje miejsce.	game/script.rpy	640
epizod2_a20cefa7_2		...	game/script.rpy	641
epizod2_99db4c5e		Po krótkiej, niezręcznej ciszy - Ojciec znów zabrał głos. Tym razem głos był zimniejszy, ewidentnie domagający się odpowiedzi.	game/script.rpy	642
epizod2_8ebdb5b1	p3	Lia, co robiłaś wczoraj po pracy? Słyszałem, że nie weszłaś od razu na piętro. Poszłaś spać tak jak prosiłem przed zamknięciem Tawerny?	game/script.rpy	643
epizod2_760a7911		Lia zaczęła się stresować. Nie wiedziała co zrobić.	game/script.rpy	646
epizod2_14bc2364		Tętno zaczęło jej przyspieszać, a oczy krążyły jakby szukały pomocy...	game/script.rpy	647
e2u2a_8a34e494	p1	Ahh, wiesz Tato... byłam na spacerze w lasku, chciałam się przejść. Nic nadzwyczajnego się nie stało! Chociaż...	game/script.rpy	664
e2u2a_b1829a29		Powiedziała jednym tchem, po czym odetchnęła z ulgą, w ciszy dziękując przyjacielowi.	game/script.rpy	665
e2u2a_3ab1c98f	p3	Chociaż co?	game/script.rpy	666
e2u2a_6efa1913		Powiedział Ojciec niecierpliwym głosem.	game/script.rpy	667
e2u2a_5a2f5b8f		Lia zrozumiała, że niepotrzebnie o tym wspomniała. Teraz nie było jednak odwrotu.	game/script.rpy	668
e2u2a_479da54f	p1	Zauważyłam kogoś w lesie i chciałam sprawdzić kto to, ale gdy podeszłam...	game/script.rpy	672
e2u2a_724aa2c3	p2	Oj, nierozsądnie kochanie...	game/script.rpy	673
e2u2a_59b4f91a	p1	No wiem, ale sądziłam, że nic mi nie grozi. Zauważyłam tylko, że to młoda dziewczyna, chyba elfka - uciekła od razu gdy tylko się zbliżyłam.	game/script.rpy	674
e2u2a_c39f6d73		Rodzice popatrzyli po sobie dziwnym wzrokiem. 	game/script.rpy	675
e2u2a_9222e426		Niepokojącą ciszę przerwała Matka:	game/script.rpy	676
e2u2a_5cee7845	p2	Nic się nie stało. Dobrze, że powiedziałaś nam prawdę. Bardzo nas to cieszy.	game/script.rpy	677
e2u2a_f2611d97	p2	Tylko następnym razem uważaj, a najlepiej dać znać, że wychodzisz. Nie będziemy się wtedy tak bardzo martwić.	game/script.rpy	678
e2u2a_599c4354	p1	Oj, nie przesadzaj mamo...	game/script.rpy	679
e2u2a_9e535b54	p2	Nie przesadzam skarbie. Bardzo Cię kochamy i nie wiem co bym zrobiła gdyby coś Ci się stało...	game/script.rpy	680
e2u2a_723500e0		Mimo niewielkiego pomieszczenia, czuć było gęstą atmosferę.	game/script.rpy	681
e2u2a_6d878c1e		Rozmowy o uczuciach były trudne. Nie było ich dużo, ale gdy się pojawiały to zawsze ich epicentrum była troskliwa matka.	game/script.rpy	682
e2u2a_08ee8266	p3	To prawda, jesteś naszą małą księżniczką - nie pozwoliłbym, żeby coś Ci się stało.	game/script.rpy	683
e2u2a_820b98cc		Oh, strasznie dziwne uczucie - pomyślała Lia, reagując w ten sposób na słabo jej znane ciepło wewnątrz ciała.	game/script.rpy	684
e2u2a_5ae62e53		Każda chwila zdawała się teraz trwać godzinami, myśli kłębiły się we wszystkie strony, w końcu Lia zdołała wydukać:	game/script.rpy	685
e2u2a_f11f26b9	p1	Ja... ja nie wiem co powiedzieć... uh.. dziękuję...	game/script.rpy	686
e2u2a_0ba16a2a		Rodzice niespodziewanie uśmiechnęli się, ojciec tylko kiwnął na znak akceptacji w kierunku swojej żony.	game/script.rpy	687
e2u2a_bebd5cab	p2	Wystarczy, że będziesz grzeczna...	game/script.rpy	688
e2u2a_3a6c4cc2	p2	No, przynajmniej w miarę grzeczna.	game/script.rpy	689
e2u2a_762c57a0		Powiedziała z uśmiechem, po czym spojrzała w stronę męża. Po chwili dodała:	game/script.rpy	690
e2u2a_1fc28697	p2	Jeśli masz ochotę, możesz dziś wcześniej skończyć pracę i przejść się na festiwal do wioski i troszkę się pobawić. Co Ty na to?	game/script.rpy	691
e2u2a_675c7c66		Lia nie była niczego zbytnio pewna, teraz też nie mogła podjąć samodzielnie decyzji. Potrzebowała pomocy...	game/script.rpy	693
e2u2a_a5ba425d	p1	Widziałam kogoś w lesie, ale zawołałam go z bezpiecznej odległości i...	game/script.rpy	697
e2u2a_aab24ecc	p3	Zrobiłaś co? Niezbyt mądre...	game/script.rpy	698
e2u2a_24b3a2a9	p2	Zorn, daj jej dokończyć.	game/script.rpy	699
e2u2a_679ea88e	p1	No więc, zawołałam z daleka, ale ten ktoś od razu uciekł. Nie wiem nawet jak wyglądał.	game/script.rpy	700
e2u2a_19a7e70e		Rodzice popatrzyli po sobie z lekkim niepokojem.	game/script.rpy	701
e2u2a_f8591c58		Nastała cisza, Ojciec ewidentnie się mocno zamyślił. Na jego twarzy malowało się skupienie.	game/script.rpy	702
e2u2a_a861237b		W czasie gdy Ojciec się zastanawiał, ciszę przełamała Mama:	game/script.rpy	703
e2u2a_5c713d52	p2	Nie widziałaś czegoś jeszcze nietypowego? Czy na pewno powiedziałaś nam wszystko?	game/script.rpy	704
e2u2a_faaf8c29		Zapytała spokojnym głosem, uśmiechając się nerwowo.	game/script.rpy	705
e2u2a_a8d76c68	p1	Nic więcej nie widziałam, naprawdę!	game/script.rpy	706
e2u2a_3fdbe7f8	p3	Dobrze, dobrze.	game/script.rpy	707
e2u2a_15e4cf17		Powiedział ojciec niespodziewanie.	game/script.rpy	708
e2u2a_d95e655d	p3	Wierzymy Ci, oczywiście. Pytamy na wszelki wypadek. Nie chcielibyśmy, żeby coś Ci się stało.	game/script.rpy	709
e2u2a_d74cc756	p3	Następnym razem uważaj. A jeśli wychodzisz gdzieś o tak późnych godzinach to wcześniej nas uprzedź!	game/script.rpy	710
e2u2a_5c55942e	p3	Gdyby coś Ci się stało to nie wiemy co byśmy zrobili... Musisz uważać Lia, proszę.	game/script.rpy	711
e2u2a_b82c35cc		Ojciec zakończył swój bardzo spokojny i krótki monolog. Lia była bardzo zaskoczona.	game/script.rpy	712
e2u2a_725801af		Rzadko kiedy widywała i jednocześnie słyszała swojego ojca, który mówi jednocześnie z takim spokojem i obawą w głosie.	game/script.rpy	713
e2u2a_92ab2162		Zastanawiała się przez moment nad tym dlaczego tak się tym przejęli - przecież to był tylko głupi spacer niedaleko domu. Co mogłoby się jej stać?	game/script.rpy	714
e2u2a_79bdfa47		W międzyczasie głos znów zabrał Ojciec:	game/script.rpy	715
e2u2a_2845056b	p3	We wsi nadal trwa festiwal. Jeśli chciałabyś to możesz dziś skończyć pracę trochę wcześniej, przejść się tam i może trochę rozerwać. Co Ty na to?	game/script.rpy	716
e2u2a_e03e9cd2		Lia przed momentem nie była pewna zachowania swojego Taty, a teraz miałaby na dodatek podjąć jakąś decyzję? Praktycznie niemożliwe. Znów potrzebowała pomocy...	game/script.rpy	718
e2u3a_bef14a08	p1	Oo, dziękuję! Chętnie się tam przejdę.	game/script.rpy	727
e2u3a_200fa673		Rodzice uśmiechnęli się delikatnie i zobaczyli tylko jak Lia wychodzi z kuchni.	game/script.rpy	728
e2u3a_25de9b5c	p1	Myślę, że zostanę w pracy do końca. Wystarczy mi tego wychodzenia.	game/script.rpy	733
e2u3a_804a4056		Rodzice popatrzyli po sobie lekko zdziwieni.	game/script.rpy	734
e2u3a_bc7bf6df	p2	Dobrze, jak uważasz. Tymczasem starczy tego siedzenia, zaraz trzeba otwierać!	game/script.rpy	735
e2u2b_41b286c6	p1	Taak, zamknęłam drzwi za gośćmi, chwilę posiedziałam i poszłam spać...	game/script.rpy	741
e2u2b_b32ee843		Powiedziała Lia z lekką niepewnością w głosie. Unikała jednocześnie kontaktu wzrokowego z Mamą czy Tatą	game/script.rpy	742
e2u2b_9dbc8439		Niestety nie umknęło to ich uwadzę. Nie miało to wielkiego znaczenia, gdyż Ojciec westchnął ciężko i z ledwo wyczuwalnym smutkiem w głosie, powiedział:	game/script.rpy	743
e2u2b_0a1cfbba	p3	Lia, byłem w Twoim pokoju aby sprawdzić czy śpisz. Nie było Cię. Teraz powiedz mi...	game/script.rpy	744
e2u2b_4c1ec362	p3	Mam sam dedukować czy jednak się przyznasz?	game/script.rpy	745
e2u2b_6030cfde		Lia nerwowo spuściła wzrok, nie wiedziała co powiedzieć...	game/script.rpy	746
e2u2b_6ee5dd91		"Czy będę kiedyś w stanie podejmować decyzje sama?" - pomyślała, czekając w międzyczasie na pomoc od swojego przyjaciela.	game/script.rpy	747
e2u2bpowiedz_ee1b282a	p1	Byłam wczoraj w lesie... Poszłam tylko na krótki spacer! Nic takiego się nie stało...	game/script.rpy	757
e2u2bpowiedz_7fd3063b	p3	Stało się, oj stało się! Najpierw kłamstwo, a teraz okazuje się, że włóczysz się po lesie w nocy. SAMA! Czemu postąpiłaś tak nieodpowiedzialnie? Masz jakieś wytłumaczenie?	game/script.rpy	759
e2u2bpowiedz_f1d79d37	p1	Chciałam przełamać rutynę...	game/script.rpy	760
e2u2bpowiedz_ef4c0aca		Powiedziała smutnym głosem Lia.	game/script.rpy	761
